Topic,Count,Name,Representation,Representative_Docs
60,103,60_cuba_cubana_cubanos_cubano,"['cuba', 'cubana', 'cubanos', 'cubano', 'guevara', 'comunismo', 'che', 'racionamiento', 'fidel', 'che guevara']","['si no fuese por franco hoy seríamos como cuba', 'desde cuba que se debe hacer', 'de cuba no se pueden escapa la gente, sería bueno hablar de ese tema.']"
61,102,61_colombia_colombianos_saludos colombia_colombiana,"['colombia', 'colombianos', 'saludos colombia', 'colombiana', 'saludos', 'bolivia', 'colombiano', 'paraguay', 'guatemala', 'hermosa']","['saludos desde cucuta colombia', 'f por colombia y españa :(', 'más ultranacionalistas en colombia']"
62,102,62_perú_peruanos_peruano_peru,"['perú', 'peruanos', 'peruano', 'peru', 'pe', 'saludos', 'lima', 'hermanos españoles', 'ideología género', 'país']","['me encanto saludos desde perú 😀😉🙂🙂', 'viva perú y polonia, 🇯🇪🇵🇪🇵🇱💪🏻✝️', 'son gente tan hermosa perú 💖😊💕✨']"
63,102,63_blanca_crush_hermosa_enamore,"['blanca', 'crush', 'hermosa', 'enamore', 'enamoré', 'guapa', 'encanto', 'blanco', 'mujer', 'nombre']","['hasta yo me enamoro de blanca😍😍😍😍😍😍❤️', 'blanca es hermosaaaa', 'blanca y raquel hubiera sido mejor 🔥']"
64,101,64_delito_cárcel_delincuentes_prisión,"['delito', 'cárcel', 'delincuentes', 'prisión', 'delinquir', 'criminal', 'delincuencia', 'carcel', 'justicia', 'menas']","['a la cárcel con ellos', 'no olvide cualquier compañero comentarista que tenga la bondad de leerme, que cuantos en este vídeo son denunciados por santi abascal, son los mismos, que en el 36 —la sangre que corre por sus venas, es sangre criminal de víboras sin alma— asesinaron a calvo sotelo y que en el momento actual, ante las próximas elecciones, estarían dispuestos a realizar cualquier acto criminal contra ✅0️⃣❎. si existiera la justicia, que nunca es igual para todos, pedro sánchez estaría preso a cadena perpetua, por ser el causante general principal de la creación de las preferentes, que han sido la causa de la pérdida o menoscabo de sus ahorros o han fallecido por dicha causa; es persona sin escrúpulos que está donde está por la permisividad otorgada por el maricon y cobarde mayor del reino y el apoyo de toda la extrema-y-asesina izquierda con eta incluida.\navisados estamos y ojalá no ocurra nada, porque este malnacido engendro satánico que tenemos como presidente es capaz de todo lo que ustedes puedan tener por imaginable.\ncon fe, ilusión, esperanza y todo nuestro cariño y colaboración de apoyo a ✅0️⃣❎, 🇪🇸¡arriba españa!🇪🇸.', 'ves estos reportajes y son bastante lamentables. el desperdicio de dinero público en embarcaciones, helicópteros, funcionarios.. para que sólo puedan perseguirlos y se tengan que conformar y consideren un éxito la operación. y si es que los pillan, el juez de turno los deja libres y apenas tienen consecuencias. tiene que ser además, bastante frustrante y humillante para los agentes (al menos para los que tengan vocación y entren en esos cuerpos siendo ingenuos y creyendo en el sistema) de los diferentes cuerpos. arriesgar e incluso perder la vida en persecuciones. y luego además, los agentes que viven en esas zonas, conviven y se cruzan con los narcos y sus familiares en la puerta del colegio o en el supermercado. teniendo que aguantar amenazas o la simple humillación de ver como su trabajo, el juez se lo pasa por el forro. \nhay funcionarios vagos, sí. y corruptos. ¿pero cuántos de esos lo serán por haberse quemado?. \ny todo por culpa de nuestros políticos, jueces,... ¿muy blandos?? ¿o quizá, tienen algún interés en no ser contundentes con los delincuentes?.. con la corrupción que tenemos, en realidad, no me sorprende.\n\neso sí, todo mi respeto y admiración por el servicio de vigilancia aduanera, y por el resto de cuerpos policiales (pero solo de los agentes honrados y que mantienen la vocación a pesar de todo). equiparación salarial para los funcionarios del sva, que cobran unos 1400 €']"
65,93,65_nacionalidad_abuelo_bisabuelo_abuela,"['nacionalidad', 'abuelo', 'bisabuelo', 'abuela', 'española', 'nacionalidad española', 'español', 'puedo', 'ley', 'hola']","['mi abuelo tiene la nacionalidad española(la obtuvo a travez de la ley 52/2007). yo puedo solicitarla por ley de memoria democratica y obtenerla directamente de mi abuelo? o la tiene que obtener primero mi madre y luego yo?', 'hola en el caso de ser tataranieto y mi abuelo y mi madre tengan la nacionalidad,  ¿yo puedo sacarla? muchas gracias', 'buen día, mi bisabuelo eres ciudadano español migro a colombia, y mi abuela, mi madre fallecieron y no solicitaron nacionalidad española, según verifique en el consulado me dicen que hasta este año puedo solicitar la nacionalidad esa cierto eso']"
66,91,66_totalmente acuerdo_acuerdo_totalmente_razón,"['totalmente acuerdo', 'acuerdo', 'totalmente', 'razón', 'acuerdo abascal', 'abascal razón', '100 acuerdo', 'acuerdo contigo', 'abascal', 'completamente']","['totalmente de acuerdo', 'totalmente de acuerdo', 'totalmente de acuerdo']"
67,90,67_ignorancia_ignorante_investigar_ignorantes,"['ignorancia', 'ignorante', 'investigar', 'ignorantes', 'cuanta', 'identidad', 'frases', 'decencia', 'llevan', 'aprendido']","['la ignorancia es lo que tiene.', 'lo que reúne la ignorancia', 'donde hay toda esta ignorancia?']"
68,88,68_libertad_derechos_derecho_expresion,"['libertad', 'derechos', 'derecho', 'expresion', 'humanos', 'libertinaje', 'derechos humanos', 'viva libertad', 'humano', 'igualdad']","['que viva la derecha y la libertad', 'la libertad de expresion siempre y cuando tus palabras no hiera a los demas?\nes eso libertad d expresion o simplemente libertad de decir lo q queremos escuchar los demas?\nd lo contrario seras arrestado?\nrpito una vez mas.\nes eso libertad de expresion?', 'y había más libertad que ahora']"
69,88,69_presidente_santiago_santiago presidente_santiago abascal,"['presidente', 'santiago', 'santiago presidente', 'santiago abascal', 'abascal presidente', 'españa santiago', 'abascal', 'presidente españa', 'presidente viva', 'viva']","['santiago abascal presidente', 'santiago abascal presidente ya!!!', 'santiago abascal presidente ❤️💚❤️']"
70,88,70_estudiar_estudios_universidad_paguen,"['estudiar', 'estudios', 'universidad', 'paguen', 'estudia', 'pagar', 'pago', 'dinero', 'mientras', 'estudiar trabajar']","['y te pagaste tú lo estudios??', 'págate tus estudios.', 'te lo pagaste tú los estudios,,,,???']"
71,87,71_llama pueblo_pueblo_llama_nombre,"['llama pueblo', 'pueblo', 'llama', 'nombre', 'pueblos', 'pueblo pueblo', 'hola', 'provincia', 'soria', 'fabián']","['hola como se llama este  pueblo', 'hola como se llama el pueblo?', 'hola, como se llama ese pueblo?']"
72,85,72_vivir_pueblo_ir vivir_ir,"['vivir', 'pueblo', 'ir vivir', 'ir', 'gustaría', 'vivir pueblo', 'vivir españa', 'encantaría vivir', 'irme vivir', 'irme']","['creo que ya se donde ir a vivir', 'por eso me quiero ir a vivir a españa♡♡♡♡', 'me gustaría ir a vivir a un pueblo de españa sube más información para llegar a vivir ahí']"
73,84,73_dormir_dejan_sueño_tranquilo,"['dormir', 'dejan', 'sueño', 'tranquilo', 'grados', 'despertar', 'noche', 'dijeron', 'dejen', 'to']","['*uno ya no puede dormir en paz :v*', 'uno ya no puede dormir tranquilito🤣', 'no los dajaron dormir jjjjjj']"
74,81,74_homofobia_gay_vídeos_encantó,"['homofobia', 'gay', 'vídeos', 'encantó', 'discriminación', 'lgbt', 'gays', 'homosexualidad', 'comunidad', 'homofóbicos']","['dónde están los vídeos de la dw que denuncian la discriminación que sufrimos los hombres y mujeres blancos por parte de gente de raza negra???', 'dónde están los vídeos de la dw que denuncian la discriminación que sufrimos los hombres por parte de las mujeres lesbianas???', 'dónde están los vídeos de la dw que denuncian la discriminación que sufren las mujeres heterosexual por parte de los hombres homosexuales??']"
75,81,75_trans_actriz_mujer_transgénero,"['trans', 'actriz', 'mujer', 'transgénero', 'cortometraje', 'that', 'transexual', 'papel', 'protagonista', 'the']","['siempre es lo mismo, una mujer trans interpretada por una actriz cisgenero, que insinúan que no hay actrices trans con talento, o les da penita!!!!', 'lo único criticable es que el papel de duna no lo haya interpretado una verdadera mujer trans a menos que esa actiz sea mujer trans y yo lo ignore', 'las personas trans... ;(']"
76,77,76_serie_series_episodio_this,"['serie', 'series', 'episodio', 'this', 'temporada', 'the', 'it', 'and', 'capítulo', 'love']","['me encanta esta serie', 'donde se puede ver la serie', 'esta es el 4ta vez que veo  esta serie']"
77,70,77_comentarios_leo_sección comentarios_sección,"['comentarios', 'leo', 'sección comentarios', 'sección', 'tratando', 'humor', 'asco', 'asco comentarios', 'abajo', 'comentarios recientes']","['me asustan los comentarios', 'telita con los comentarios.', 'los comentarios?????????????????????????????']"
78,69,78_turista_reserva_hotel_carta invitación,"['turista', 'reserva', 'hotel', 'carta invitación', 'invitación', 'carta', 'días', '00', 'voy', 'viajar']","['osea que si tengo carta de invitación también debo tener reserva hotelera? esa es mi duda?', 'saludos amigo excelente informacion. una preguta si yo viajo a visitar un familiar pero no tengo carta de invitacion. tengo mi reserva de hotel. pero que debo decir en migracion que voy como turista ??', 'yo llegó a madrid y reserva de hotel y solo me quedo unos días yo voy de turismo y viajo a varios paises.seria tonto carta de invitación']"
