Topic,Words,Frequency,Timestamp,Name
51,"españa, reasentamiento, refugiados, colectivo lgtbi, reasentar",4,2019,51_españa_refugiados_grecia_italia
52,"orbán, hungría, húngaro, orban, primer ministro",8,2019,52_hungría_orbán_referéndum_húngaros
53,"alimentos, recogida, refugiados, productos, kilos",36,2019,53_alimentos_material_recogida_refugiado...
54,"málaga, puerto málaga, puerto, alborán, mar alborán",71,2019,54_málaga_puerto málaga_patera_puerto
55,"níger, osama, sahel, reportera, getafe",5,2019,55_osama_reportera_getafe_mohsen
56,"iglesia, jesús, cañizares, arzobispo, maría josé",37,2019,56_cañizares_iglesia_arzobispo_cardenal
57,"plástico quemado, asfixiarnos, olor plástico, paredes niños, asfixiarnos cerramos",145,2019,57_quemado colado_aire irrita_niños tose...
58,"venezolanos, venezuela, colombia, país, solicitudes",114,2019,58_venezolanos_venezuela_colombia_país
59,"air, avión, air europa, aerolíneas, vuelos",3,2019,59_avión_sedición_palma_delito
60,"morales, evo morales, evo, bolivia, méxico",12,2019,60_bibby_bibby stockholm_stockholm_barca...
62,"viking, ocean viking, ocean, 356, malta",158,2019,62_viking_ocean viking_ocean_356
63,"patera, naufragio, mauritania, nuadibú, embarcación",77,2019,63_patera_naufragio_canarias_embarcación
64,"ice, texas, 680, 680 inmigrantes, detención",74,2019,64_texas_abbott_ice_gobernador
65,"novela, historia, película, cine, libro",76,2019,65_novela_historia_película_libro
66,"malta, barco, alan kurdi, alan, kurdi",144,2019,66_malta_barco_alan kurdi_alan
67,"cruz roja, roja, cruz, ciento, personas",52,2019,67_roja_cruz roja_cruz_personas
68,"moria, eurodiputada, campo, europa, refugiados",6,2019,68_refugiados_crisis_europa_crisis refug...
69,"bandera, acuerdo, unión europea, unión, europea",4,2019,69_acuerdo_turquía_ue_bandera
70,"camión, agentes, vehículo, conductor, inmigrante",27,2019,70_camión_frigorífico_camión frigorífico...
71,"birmania, malasia, bangladesh, rohingya, rohingyas",14,2019,71_malasia_tailandia_birmania_indonesia
72,"cubanos, unidos, ee uu, uu, ee",12,2019,72_cubanos_unidos_migración_costa rica
73,"macedonia norte, macedonia, moverse hacia, albergaban, mayoría huyen",4,2019,73_macedonia_frontera_grecia_gevgelija
74,"peticiones asilo, guatemala, peticiones, trump, ee uu",11,2019,74_legionela_barcaza_solicitantes asilo_...
75,"erdogan, turquía, turco, ankara, siria",78,2019,75_erdogan_turquía_turco_ankara
76,"australia, saudí, canadá, bangkok, joven",57,2019,76_australia_nauru_australiano_saudí
77,"audaz, open, open arms, arms, san roque",119,2019,77_audaz_open_open arms_arms
78,"macron, cuotas, francia, oficios, francés",48,2019,78_macron_derecha_francia_ley
79,"2018, muertes, llegadas, oim, ruta",65,2019,79_2018_muertes_ruta_oim
80,"acepta, inferior, ofreciéndole, cookies, información veraz",45,2019,80_acepta_inferior_ofreciéndole_cookies
81,"camión, conductor, belga, ocultos, vehículo",56,2019,81_camión_conductor_furgoneta_mossos
82,"marlaska, grande marlaska, grande, fpö, ministro",13,2019,82_marlaska_grande marlaska_grande_minis...
83,"patera, desaparecidos, alhucemas, embarcación, caminando fronteras",27,2019,83_patera_alhucemas_desaparecidos_salvam...
84,"macedonia, gases, lacrimógenos, macedonia norte, gases lacrimógenos",4,2019,84_macedonia_gases_lacrimógenos_gases la...
85,"trípoli, libia, haftar, ataque, detención",76,2019,85_trípoli_libia_jartum_sudán
87,"morales, evo, evo morales, bolivia, méxico",99,2019,87_morales_evo_evo morales_bolivia
88,"guardacostas, migrantes, guardia costera, turca, costera",8,2019,88_guardacostas_guardia costera_costera_...
89,"día, jornada, migrante, día internacional, iglesia",42,2019,89_día_jornada_migrante_día internaciona...
90,"adopción, pp, casado, situación irregular, mujeres",99,2019,90_adopción_pp_casado_situación irregula...
-1,"migrantes, personas, país, refugiados, españa",7369,2023,-1_refugiados_personas_migrantes_país
0,"salvamento, marítimo, salvamento marítimo, patera, embarcación",3347,2023,0_patera_salvamento_marítimo_salvamento ...
1,"canarias, migrantes, gobierno, menores, personas",3207,2023,1_canarias_gobierno_migrantes_menores
2,"alemania, merkel, berlín, refugiados, asilo",126,2023,2_alemania_merkel_refugiados_berlín
3,"policía, detenido, policía nacional, criminal, agentes",710,2023,3_policía_detenido_policía nacional_agen...
4,"trump, sangre, hampshire, donald trump, new",22,2023,4_trump_méxico_unidos_donald trump
5,"arms, open, open arms, barco, ong",22,2023,5_open_arms_open arms_barco
6,"refugiados, acogida, centro, centro refugiados, gobierno",83,2023,6_refugiados_acogida_ayuntamiento_gobier...
7,"ceuta, inmigrantes, valla, tarajal, fronterizo",168,2023,7_ceuta_inmigrantes_valla_vallado
8,"meloni, italia, salvini, italiana, giorgia",271,2023,8_italia_meloni_salvini_italiano
9,"países, europea, refugiados, ue, 000",14,2023,9_refugiados_países_ue_000
10,"prisión, acusado, patera, audiencia, cárcel",305,2023,10_prisión_acusado_patera_audiencia
11,"naufragio, pesquero, griega, guardia costera, costera",152,2023,11_griega_naufragio_egeo_grecia
12,"turquía, sirios, frontex, retorno, refugiados",14,2023,12_turquía_ue_ankara_turco
13,"méxico, unidos, frontera, migrantes, guatemala",196,2023,13_méxico_unidos_frontera_migrantes
14,"cádiz, playa, cuatro, embarcación, san fernando",191,2023,14_cádiz_playa_embarcación_melilla
15,"guardia costera, costera, calabria, guardia, costas",61,2023,15_guardia costera_costera_inmigrantes_g...
16,"papa, francisco, marsella, papa francisco, pontífice",85,2023,16_papa_francisco_papa francisco_pontífi...
17,"grecia, mitsotakis, turquía, griego, syriza",23,2023,17_grecia_refugiados_turquía_idomeni
18,"ue, pacto, migración, europea, migración asilo",242,2023,18_ue_europea_países_migración
